province,constituency,number,candidate_name,party,votes_llm,votes_kn,diff,abs_diff
กรุงเทพมหานคร,3,9,นายนรุตม์ชัย บุนนาค,กล้าธรรม,545,34653,-34108,34108
พระนครศรีอยุธยา,1,3,นายวัชรพงศ์ ระดมสิทธิพัฒน์,ประชาธิปัตย์,3557,37335,-33778,33778
พระนครศรีอยุธยา,1,7,นายทวีวงศ์ โตทวิวงศ์,ประชาชน,37335,3557,33778,33778
บึงกาฬ,3,1,string,ไทยทรัพย์ทวี,2560,34041,-31481,31481
นครราชสีมา,16,3,นายบุญเลิศ ประสิทธิ์นอก,เพื่อบ้านเมือง,916,32139,-31223,31223
อุบลราชธานี,6,1,นางสาวธัญธารีย์ สันตพันธุ์,พรรคเพื่อไทย,33345,2663,30682,30682
หนองบัวลำภู,1,3,นายชยานันท์ เกตุเมฆ,กล้าธรรม,31594,1154,30440,30440
เชียงใหม่,10,1,นายชาตรี หล้าพระบาง,ประชาธิปัตย์,942,30928,-29986,29986
ภูเก็ต,3,3,นายศักดิ์ชาย เชาวน์ไวย,เพื่อไทย,1192,30360,-29168,29168
ภูเก็ต,3,1,นางสาวอรทัย เกิดทรัพย์,กล้าธรรม,30360,1192,29168,29168
ชัยภูมิ,5,1,นายศิวะ พงศ์ธีระดุลย์,เพื่อไทย,29851,719,29132,29132
ชัยภูมิ,5,5,นายชยนนท์ คำเบ้า,ประชาธิปัตย์,719,29851,-29132,29132
ลำพูน,1,2,นายชัยณรงค์ ภู่พิสิฐ,เพื่อไทย,29768,864,28904,28904
อุบลราชธานี,7,4,นายเชิดศักดิ์ โภคกุลกานนท์,เพื่อไทย,34817,6036,28781,28781
กรุงเทพมหานคร,3,2,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,34653,6665,27988,27988
น่าน,2,2,นางสาวปาริชาติ ยาน้อย,ประชาชน,28888,953,27935,27935
สกลนคร,5,1,นางสาววงศ์อะเคื้อ บุญศล,กล้าธรรม,27906,351,27555,27555
ลำพูน,1,8,นายสุวสันต์ จันทร์ตาธรรม,เศรษฐกิจ,2666,29768,-27102,27102
ลพบุรี,3,3,นายพหล วรปัญญา,เพื่อไทย,27504,467,27037,27037
สมุทรปราการ,2,8,นางสาวสรัณณรัตน์ ศุภอัครโภคิน,รวมไทยสร้างชาติ,2506,29448,-26942,26942
สมุทรปราการ,2,5,นายยงยุทธ สุวรรณบุตร,เพื่อไทย,29448,2957,26491,26491
เชียงใหม่,3,8,นายธนากร สุภาษา,กล้าธรรม,2335,28351,-26016,26016
เชียงใหม่,3,4,นายจักรพล ตั้งสุทธิธรรม,เพื่อไทย,28351,2335,26016,26016
สระบุรี,2,8,นายกฤษณุชัย บุญทรัพย์ทวีชัย,พรรคเศรษฐกิจ,1836,27805,-25969,25969
นครราชสีมา,4,6,นายภาคภูมิ ประชญาภูมิวงศ์,ประชาชน,26339,745,25594,25594
เชียงใหม่,2,1,นางสาวการณิก จันทดา,ประชาชน,51532,26155,25377,25377
สงขลา,6,6,นางสาวจิรนาถ เหลาะเหม,พรรคเพื่อไทย,705,25751,-25046,25046
สงขลา,6,2,นายบารมี ขาวทอง,พรรคกล้าธรรม,25751,705,25046,25046
พิษณุโลก,2,3,นางสาวปรานอม หลิมประเสริฐ,ภูมิใจไทย,7084,32070,-24986,24986
พิษณุโลก,2,2,นายณชพล พลอาสา,ประชาชน,32070,7084,24986,24986
สระแก้ว,3,3,พันตำรวจเอก ศตพัฒน์ พิมพ์คำ,ประชาชน,13842,38812,-24970,24970
เชียงใหม่,8,9,นายณัฏฐ์พัฒน์ รัฐไผท,เพื่อไทย,28146,3352,24794,24794
สระบุรี,2,1,นายสมบัติ อำนาคะ,พรรคเพื่อไทย,27805,3291,24514,24514
พระนครศรีอยุธยา,2,1,นายชริน วงศ์พันธ์เที่ยง,ประชาชน,25836,1356,24480,24480
พระนครศรีอยุธยา,2,3,นายทรงศักดิ์ อยู่ยืน,รวมไทยสร้างชาติ,1356,25836,-24480,24480
ระยอง,3,5,นางสาวณัชชารีย์ จิตรดล,ภูมิใจไทย,2454,26873,-24419,24419
เชียงราย,7,8,นายเสรี วังแง่,พลวัต,452,24729,-24277,24277
เชียงราย,7,5,นายสง่า พรมเมือง,เพื่อไทย,24729,452,24277,24277
น่าน,2,3,นายชลน่าน ศรีแก้ว,เพื่อไทย,14002,38228,-24226,24226
นครศรีธรรมราช,2,1,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,21111,45334,-24223,24223
นครศรีธรรมราช,2,3,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,45334,21111,24223,24223
ลพบุรี,1,11,นางสาวศิริรัตน์ ฤกษ์พิชัย,ไทยสร้างไทย,1379,25593,-24214,24214
ระยอง,3,6,นายภิญโญ รัศมีประเสริฐสุข,ไทยสร้างไทย,788,24801,-24013,24013
ลำปาง,1,4,นางทิพา ปวีณาเสถียร,พรรคประชาชน,47614,23642,23972,23972
ลพบุรี,1,3,นายสาธิต ทวีผล,ประชาชน,25593,1666,23927,23927
เชียงใหม่,2,3,นายเพทาย เตโชฬาร,เพื่อไทย,26155,2350,23805,23805
ปทุมธานี,4,1,นายสุทิน นพขำ,พรรคเพื่อไทย,17512,41039,-23527,23527
ปทุมธานี,4,4,นายสกล สุนทรวาณิชย์กิจ,พรรคประชาชน,41039,17512,23527,23527
ยะลา,2,3,นายซูการ์โน มะทา,ประชาชาติ,46972,24226,22746,22746
เชียงใหม่,8,3,นายสุริยนต์ ปันทะนะ,ภูมิใจไทย,5542,28146,-22604,22604
ยโสธร,2,1,นายวรายุทธ จงอักษร,ภูมิใจไทย,51233,28880,22353,22353
ยโสธร,2,3,นายบุญแก้ว สมวงศ์,เพื่อไทย,28880,51233,-22353,22353
ระยอง,3,2,นายพงศธร ศรเพชรนรินทร์,ประชาชน,24801,2454,22347,22347
นนทบุรี,1,1,นายวุฒากร นุตยกุล,ประชาชน,42123,19861,22262,22262
ลพบุรี,3,2,นางสาวกาญจนาพร จิระพันธุ์วาณิช,ภูมิใจไทย,49264,27504,21760,21760
ระยอง,3,1,นายพศิน ปิตุเตชะ,ประชาธิปัตย์,26873,5580,21293,21293
สกลนคร,5,5,นางเกศา พลข้อ,เศรษฐกิจ,1177,22054,-20877,20877
นนทบุรี,1,2,นางสาวกัญญาพร แก้วทิพย์,ภูมิใจไทย,19861,391,19470,19470
ชัยภูมิ,5,3,นายสุขสันต์ ชื่นจิตร,กล้าธรรม,19605,448,19157,19157
สระแก้ว,3,2,นายสรวงศ์ เทียนทอง,เพื่อไทย,32848,13842,19006,19006
นนทบุรี,7,2,นายวิเชียร เจริญนนทสิทธิ์,กล้าธรรม,18873,472,18401,18401
หนองคาย,3,3,นายชัยณรงค์ ชัยสุข,ประชาชน,19381,1343,18038,18038
หนองคาย,3,1,นายสถิตย์ สีสวาท,ประชาธิปัตย์,1343,19381,-18038,18038
สุรินทร์,5,1,นายรังสิทธิ์ วุฒิสุทธิ์,รวมไทยสร้างชาติ,173,17798,-17625,17625
สุรินทร์,5,8,นางฟาริดา สุไลมาน,กล้าธรรม,17798,173,17625,17625
กรุงเทพมหานคร,19,9,นายปิยะชาติ อำนวยเวช,โอกาสใหม่,377,17802,-17425,17425
ตาก,3,8,นายอรรถสิทธิ์ ต๊ะทองคำ,ภูมิใจไทย,18757,1484,17273,17273
นครราชสีมา,16,5,นายตติรัฐ รัตนเศรษฐ,ภูมิใจไทย,32139,14870,17269,17269
กรุงเทพมหานคร,19,7,นางสาวกาญจนา ภวัครานนท์,ภูมิใจไทย,17802,546,17256,17256
ลพบุรี,4,3,นายสงกรานต์ รังสรรค์,พรรคประชาชน,18256,1079,17177,17177
ลพบุรี,4,8,นางสาวศิริทิพย์ ผกามาศ,พรรคเศรษฐกิจ,1079,18256,-17177,17177
กรุงเทพมหานคร,23,1,นายสุรเกียรติ์ มณีแผลงเจริญชัย,ประชาธิปไตยใหม่,464,17592,-17128,17128
กรุงเทพมหานคร,22,2,นายพงศ์พล ยอดเมืองเจริญ,ภูมิใจไทย,17486,368,17118,17118
กรุงเทพมหานคร,22,8,นายวิรัล ทองเมืองหลวง,เศรษฐกิจ,1130,17486,-16356,16356
เลย,4,3,นางสาวณัฐวรีย์ ทรัพย์มณีโภคิน,ประชาธิปัตย์,3953,20152,-16199,16199
เลย,4,1,นางสาวศวิตา สำลีพันธุ์,ประชาชน,20152,3953,16199,16199
สุรินทร์,2,9,นายชูชัย มุ่งเจริญพร,เพื่อไทย,17069,1064,16005,16005
กรุงเทพมหานคร,23,9,นางสกุลรัตน์ ทิพย์วรรณงาม,ภูมิใจไทย,17592,1660,15932,15932
มหาสารคาม,4,3,นายสรรพภัญญู ศิริไปล์,เพื่อไทย,15459,30843,-15384,15384
มหาสารคาม,4,1,นายวิเชียร จงชูวณิชย์,ภูมิใจไทย,30843,15459,15384,15384
ยะลา,1,1,นายสุไลมาน บือแนปีแน,ประชาชาติ,31446,16200,15246,15246
ยะลา,1,3,นายประสิทธิชัย พงษ์สุวรรณศิริ,ภูมิใจไทย,16200,31446,-15246,15246
ลำปาง,3,3,นายบุญเลิศ แสนเทพ,เพื่อไทย,16581,1360,15221,15221
ลำปาง,3,7,นายชาญณรงค์ มาเรียน,พลังประชารัฐ,1360,16581,-15221,15221
กรุงเทพมหานคร,12,13,นายนนท์ปวิธ แก้วงาม,กล้าธรรม,945,16106,-15161,15161
กรุงเทพมหานคร,13,3,นายณัษฐพงษ์ วุฒิพงศ์เตชากิจ,พรรควิชชั่นใหม่,131,15227,-15096,15096
สมุทรปราการ,4,8,นางสาวพิมพ์พรรณ พึ่งบุญ,ภูมิใจไทย,15300,415,14885,14885
สมุทรปราการ,4,9,นายไพรัตน์ สำเภาทอง,ปวงชนไทย,415,15300,-14885,14885
น่าน,3,9,นายณัฐพงษ์ ไชยศิลป์,โอกาสใหม่,1338,16170,-14832,14832
นครสวรรค์,3,3,นายสัญชัย วงษ์สุนทร,เพื่อไทย,7059,21890,-14831,14831
นครสวรรค์,3,1,นายยุทธการ พลแสน,ประชาชน,21890,7059,14831,14831
นนทบุรี,3,5,ผศ.สิริภิญญ์ อินทรประเสริฐ,ภูมิใจไทย,15854,1160,14694,14694
กรุงเทพมหานคร,1,9,นายวีระยุทธ ประกอบการ,ปวงชนไทย,168,14813,-14645,14645
ลพบุรี,3,4,นายประดิษฐ์ บวรกิติอนันต์,ประชาชน,15294,670,14624,14624
ลพบุรี,3,8,นางสาวกัญญาภัค กอกัน,ปวงชนไทย,801,15294,-14493,14493
ลำปาง,1,3,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,23642,9189,14453,14453
กรุงเทพมหานคร,12,11,นางศลิษา สิงหเสนี,ภูมิใจไทย,16106,1776,14330,14330
สุรินทร์,4,9,นางสาวรำไพ เพิ่มทอง,ใหม่,368,14535,-14167,14167
นครราชสีมา,16,10,นายมาร์ค อุสมาน ปาทาน,ประชาชน,14870,982,13888,13888
นครราชสีมา,1,5,นายก้องเกียรติ วงศ์นิยม,ภูมิใจไทย,14417,552,13865,13865
นครราชสีมา,1,9,นายสกุลชัย สุภิมารส,กล้าธรรม,552,14417,-13865,13865
บึงกาฬ,3,6,string,รวมไทยสร้างชาติ,1294,15049,-13755,13755
ร้อยเอ็ด,8,8,นายธนชัย สินธุไพร,พรรคภูมิใจไทย,25106,11351,13755,13755
ร้อยเอ็ด,8,9,นายพัฒนา พระไชยบุญ,พรรคประชาชน,11351,25106,-13755,13755
สุรินทร์,2,1,นายพงศธร ลักขษร,ประชาชน,14307,613,13694,13694
สุรินทร์,2,3,นายสุมากร แซ่โง้ว,กล้าธรรม,613,14307,-13694,13694
สุรินทร์,4,8,นายโพธิธวัช พัฒนาพงษ์ไชย,ประชาชน,14535,913,13622,13622
ฉะเชิงเทรา,3,1,นางลอง ไผ่ล้อม,พรรคปวงชนไทย,929,14500,-13571,13571
ฉะเชิงเทรา,3,3,นายศักดิ์ชาย ตันเจริญ,พรรคเพื่อไทย,14500,929,13571,13571
นครราชสีมา,8,3,นายศาสตรา นากระโทก,ประชาชน,14747,1194,13553,13553
สุราษฎร์ธานี,2,1,นายโรจน์พิศาล อินทรักษ์,ประชาธิปัตย์,15126,1695,13431,13431
สระบุรี,1,8,นายทวีจิตร พัฒน์ชนะ,เพื่อไทย,14572,1156,13416,13416
บึงกาฬ,3,5,string,รวมใจไทย,1312,14313,-13001,13001
ศรีสะเกษ,9,9,นางสาวเกศรา แซ่จิว,ปวงชนไทย,137,12281,-12144,12144
น่าน,2,5,นายนฤบดินทร์ เทพสิทธิ์,ภูมิใจไทย,1982,14002,-12020,12020
ปทุมธานี,5,1,นางสาวอัยรินทร์ พันธุ์ฤทธิ์,กล้าธรรม,12941,930,12011,12011
ศรีสะเกษ,1,1,นายธเนศ เครือรัตน์,เพื่อไทย,25401,13456,11945,11945
ศรีสะเกษ,1,3,นายสุขเกษม เรืองนุช,ประชาชน,13456,25401,-11945,11945
อุดรธานี,8,1,นายเกรียงศักดิ์ ฝ้ายสีงาม,เพื่อไทย,12512,634,11878,11878
ปทุมธานี,5,8,นายศุภลักษณ์ สายยงค์,ประชาธิปไตยใหม่,1185,12941,-11756,11756
สมุทรปราการ,5,2,นายปิยะพงศ์ เหมะ,เพื่อไทย,12323,796,11527,11527
กาฬสินธุ์,5,8,นายทวี ขาวผ่อง,ประชาชน,12077,824,11253,11253
ศรีสะเกษ,9,8,นางนุชนาถ จารุวงษ์เสถียร,กล้าธรรม,12281,1069,11212,11212
จันทบุรี,3,1,นายชรัตน์ เนรัญชร,ภูมิใจไทย,31798,20697,11101,11101
อุดรธานี,8,8,นายภูชิต อุ่นเที่ยว,กล้าธรรม,1842,12512,-10670,10670
น่าน,3,6,นายรัฐภูมิ ขันสลี,กล้าธรรม,11813,1338,10475,10475
ชัยภูมิ,5,4,นายอภิเดช ประทุมแก้ว,ประชาชน,9294,19605,-10311,10311
อุบลราชธานี,7,5,นางสาวสุดารัตน์ พิทักษ์พรพัลลภ,ภูมิใจไทย,45003,34817,10186,10186
กรุงเทพมหานคร,13,9,นายภาณุพงศ์ ลักษณวิศิษฎ์,พรรคประชาธิปัตย์,11428,1323,10105,10105
กรุงเทพมหานคร,6,1,นางสาวอรพินทร์ เพชรทัต,โอกาสใหม่,10856,764,10092,10092
เพชรบูรณ์,6,1,นายอัครพงษ์ สิทธิ,ประชาชน,14303,4610,9693,9693
สุราษฎร์ธานี,2,4,นายภูวิช เกลี้ยงมล,กล้าธรรม,3138,12739,-9601,9601
หนองคาย,2,5,นายธงชัย กึ่งมาตย์,ประชาธิปัตย์,397,9782,-9385,9385
หนองคาย,2,4,นางสาวทศพร จันทร์ศรี,ประชาชน,9782,397,9385,9385
กำแพงเพชร,2,1,นายเพชรภูมิ อาภรณ์รัตน์,กล้าธรรม,42302,32930,9372,9372
กำแพงเพชร,2,3,นายธนากร รัตนากร,เพื่อไทย,32930,42302,-9372,9372
น่าน,2,1,นายประสิทธิ์ โนทะ,กล้าธรรม,38228,28888,9340,9340
ศรีสะเกษ,2,1,นายสุทธิรักษ์ บุญศักดิ์,ประชาชน,10448,1166,9282,9282
กรุงเทพมหานคร,12,1,นางพิมชนก เก่าเจริญ,ประชาธิปัตย์,9527,430,9097,9097
ศรีสะเกษ,2,3,นายสายชล เคหะธรรม,รวมพลังประชาชน,1392,10448,-9056,9056
กรุงเทพมหานคร,1,8,นายพีรวุฒิ พิมพ์สมฤดี,ประชาธิปัตย์,14813,6030,8783,8783
ลพบุรี,1,1,นายอุบลศักดิ์ บัวหลวงงาม,เพื่อไทย,9992,1379,8613,8613
ชัยภูมิ,5,6,นายปิยชัย โชติมาวณิช,เศรษฐกิจ,711,9294,-8583,8583
นนทบุรี,3,8,นายเอิบ พงบุหงอ,ประชาธิปัตย์,7291,15854,-8563,8563
ลพบุรี,1,9,นายพิชัย เกียรติวินัยสกุล,พลังประชารัฐ,1666,9992,-8326,8326
กรุงเทพมหานคร,10,8,นางกนกนุช กลิ่นสังข์,โอกาสใหม่,9440,1437,8003,8003
พระนครศรีอยุธยา,4,3,นางสาวณัฐณิชา บุรณศิริ,เพื่อไทย,5682,13512,-7830,7830
พระนครศรีอยุธยา,4,1,นายวีระชัย นาคมาศ,โอกาสใหม่,13512,5682,7830,7830
กรุงเทพมหานคร,12,6,นายธนกฤต ธนิศราพงศ์,รวมไทยสร้างชาติ,1776,9527,-7751,7751
กรุงเทพมหานคร,22,3,นายปรินต์ ทองปุสสะ,ประชาธิปัตย์,9244,1705,7539,7539
หนองบัวลำภู,2,1,นายประสิทธิ์ พลศักดิ์ขวา,เครือข่ายชาวนาแห่งประเทศไทย,249,7705,-7456,7456
กรุงเทพมหานคร,10,9,นายภูพิพัฒน์ สาวพัฒนะธาดา,รวมไทยสร้างชาติ,2012,9440,-7428,7428
มหาสารคาม,2,9,นางสาวขวัญอิสรา ศรีสังข์,พลังประชารัฐ,7793,901,6892,6892
มหาสารคาม,2,1,นายทวีศักดิ์ ปะหุปะไพ,ประชาธิปไตยใหม่,901,7793,-6892,6892
กรุงเทพมหานคร,14,1,นายธีรทรัพย์ อภิญญาภรณ์,ไทยสร้างไทย,1299,8186,-6887,6887
กรุงเทพมหานคร,14,10,ร.อ.พิชาญศักดิ์ บุญมาศ,ประชาธิปัตย์,8186,1333,6853,6853
กรุงเทพมหานคร,28,10,นางสาวณฤษร พฤฒิวโรดม,ไทยสร้างไทย,870,7586,-6716,6716
กรุงเทพมหานคร,22,4,นายธกร เลาหพงศ์ชนะ,เพื่อไทย,7036,425,6611,6611
นนทบุรี,3,9,นางสาวสิรินาถ พิณประไพวงศ์,พลวัต,774,7291,-6517,6517
สงขลา,4,4,นายสิทธิพัฒน์ เสนเนียม,ประชาธิปัตย์,18187,24612,-6425,6425
สงขลา,4,1,นายโยธิน ทองเนื้อแข็ง,ภูมิใจไทย,24612,18187,6425,6425
กรุงเทพมหานคร,22,5,ร.ต.ต.มณฑล โพธิ์คาย,พลังประชารัฐ,2983,9244,-6261,6261
เชียงใหม่,3,3,นายเกษม ปารมีศิลป์ขจร,ภูมิใจไทย,7296,1265,6031,6031
กรุงเทพมหานคร,3,1,นางสาวเพ็ญพิสุทธิ์ จินตโสภณ,เพื่อไทย,6665,665,6000,6000
สระแก้ว,3,1,นายสุรศักดิ์ ชิงนวรรณ์,กล้าธรรม,38812,32848,5964,5964
อุบลราชธานี,7,8,นายไพฑูรย์ จันทะยา,ประชาชน,6036,76,5960,5960
หนองบัวลำภู,2,9,นางชญาน์นันท์ พิมพ์กิรติ,ภูมิใจไทย,7705,1823,5882,5882
สกลนคร,5,2,นายชัยมงคล ไชยรบ,ภูมิใจไทย,22054,27906,-5852,5852
ชัยภูมิ,1,8,นายเกษมศักดิ์ อัครเพศ,ทางเลือกใหม่,894,6739,-5845,5845
ชัยภูมิ,1,9,นายวรวุฒิ จอดนอก,ภูมิใจไทย,6739,894,5845,5845
ลำปาง,1,9,นายชวนิต จันทรสุรินทร์,พรรคภูมิใจไทย,9189,3490,5699,5699
กรุงเทพมหานคร,22,7,นายกัณฑ์ชาติ มนต์กันภัย,ไทยก้าวใหม่,1491,7036,-5545,5545
ยะลา,1,2,นายอาดิลัน อาลีอิสเฮาะ,กล้าธรรม,20639,15216,5423,5423
ยะลา,1,4,นายอันวาร์ อุเซ็ง,ประชาชน,15216,20639,-5423,5423
กรุงเทพมหานคร,28,4,นายพร้อมพล ธรรมจินดา,ประชาธิปัตย์,7586,2236,5350,5350
นครราชสีมา,10,7,นายบุญจง วงศ์ไตรรัตน์,พรรคภูมิใจไทย,43185,37863,5322,5322
ระยอง,3,4,นายชัยณรงค์ สันทัสนะโชค,เพื่อไทย,5580,788,4792,4792
กาฬสินธุ์,1,1,นายปภัทร เฮงไพบูลย์,พรรคพลังประชารัฐ,16870,21477,-4607,4607
กาฬสินธุ์,1,7,นายพีระพันธุ์ ดวงประทุม,พรรคประชาชน,21477,16870,4607,4607
ตาก,1,6,นายวริศ มีไชโย,ประชาธิปัตย์,6170,1565,4605,4605
ตาก,1,8,นายปองภพ วณิชศิริ,เศรษฐกิจ,1565,6170,-4605,4605
น่าน,3,1,นายณัฐพงษ์ สุปริยศิลป์,เพื่อไทย,16170,11813,4357,4357
ประจวบคีรีขันธ์,2,9,นายสายันต์ รักเมือง,พรรคไทยสร้างไทย,322,4627,-4305,4305
ประจวบคีรีขันธ์,2,8,นายเอกธิปป์ ตนประเสริฐ,พรรคประชาธิปัตย์,4627,322,4305,4305
สระบุรี,3,8,นายวัชรพล รวมพล,ประชากรไทย,371,4647,-4276,4276
เชียงใหม่,3,9,พลตรีพนม ศรีเผือด,โอกาสใหม่,1265,5464,-4199,4199
ยะลา,1,6,นายสมภพ สุภนรานนท์,ไทยก้าวใหม่,1136,5182,-4046,4046
ยะลา,1,5,นายอับดุลการิม เด็งระกีนา,ประชาธิปัตย์,5182,1136,4046,4046
แม่ฮ่องสอน,1,5,นายอนัส มณีพฤกษ์,ประชาชน,18680,14680,4000,4000
กรุงเทพมหานคร,1,6,นายญาณกิตติ์ ห่วงทรัพย์,เพื่อไทย,6030,2075,3955,3955
นครนายก,1,2,พลตำรวจตรี สุรพล บุญมา,ภูมิใจไทย,29822,33707,-3885,3885
นครนายก,1,1,นายปิยวัฒน์ กิตติธเนศวร,กล้าธรรม,33707,29822,3885,3885
นครศรีธรรมราช,4,3,ว่าที่ร้อยโท สนั่น พิบูลย์,ภูมิใจไทย,3705,7531,-3826,3826
นครศรีธรรมราช,4,1,นายวัชระ เกตุชู,ประชาชน,7531,3705,3826,3826
กรุงเทพมหานคร,13,8,นายศุกล กุลสิงห์,พรรคภูมิใจไทย,15227,11428,3799,3799
กรุงเทพมหานคร,12,9,นางสาวณัฐธยาน์ สิงห์คำนาราภูมิ,ประชากรไทย,434,4142,-3708,3708
กรุงเทพมหานคร,12,8,นางสาวนพวรรณ หัวใจมั่น,พลังประชารัฐ,4142,452,3690,3690
นครราชสีมา,10,3,นายเสกสกล อัตถาวงศ์,พรรคโอกาสใหม่,4824,1261,3563,3563
นครราชสีมา,10,5,นายธนยศ โปร่งกระโทก,พรรคเศรษฐกิจ,1261,4824,-3563,3563
นครพนม,2,8,นายสมพงษ์ มณีรัตน์,ปวงชนไทย,3679,169,3510,3510
นครพนม,2,9,นายสุริน ไตริน,ไทยพร้อม,169,3679,-3510,3510
บึงกาฬ,3,3,string,ใหม่,628,4098,-3470,3470
เชียงใหม่,2,2,นายยุทธนา สุวรรณ,ภูมิใจไทย,7177,3738,3439,3439
เชียงใหม่,2,6,พล.ต.ต.ปิยะพันธ์ ภัทรพงศ์สินธุ์,ประชาธิปัตย์,3738,7177,-3439,3439
นครปฐม,4,5,นายวินัย วิจิตรโสภณ,พรรคเพื่อไทย,3798,363,3435,3435
สระบุรี,3,3,นางสาวสิริพัชระ จึงธีรพานิช,เพื่อไทย,4647,1247,3400,3400
ขอนแก่น,8,8,นายศิริพงษ์ อรุณเดชาชัย,ภูมิใจไทย,3842,453,3389,3389
ขอนแก่น,8,9,นายเดชาวัต ศรีพุดฑา,ไทยก้าวใหม่,453,3842,-3389,3389
ชลบุรี,6,9,นายษรกฤต ผลลูกอินทร์,เพื่อไทย,3877,684,3193,3193
ชลบุรี,6,1,นายนิติกร คงทอง,แรงงานสร้างชาติ,684,3877,-3193,3193
กาฬสินธุ์,4,1,นายวิรัตน์ ภูต้องใจ,พรรคภูมิใจไทย,3939,768,3171,3171
